text,generated
"Also it looks when those people try to improve, and they get that, they heard other people. Although i believe it's a good idea to be our self where ever we are. Over all i believe to be my self and the the thing in right ways. To a bad person, or any thing that a society try to make as. But i believe if we trust our self, and have a big goal to rich to. Also not being comfort with it. Being our self shows those people how strong we can be,and continuing our way to improve.

In a word that we see people change accomplishment. Also reaching our goal dreams In a right way. For example. So to be our self, and we chose to improve our life in other rule. So then i believe i should be my self.

finally I believe it is good idea to be our self. It will be possiball to get it. But those people saying to so the thing other, i know that is not right to do it.                                                                                                                 . and they dont know they rich something they effect some other thing that they dont know about about.

I believe it is not acceptable for as to do the same to heard some people. then reaching our goal by trusting our self. Because it show people that they can do same as we do.

When we see that some people really try to change as. To follow their way, and we know that it is not the way we can improve. So if see in society that is changing, and see some people trying to, Change me. We should trust our self to not change. Not believing to any one who come to as, and till as any thing to Change as. Trusting our self and continuing our way to improve more. But being in a society that people as changed. then try in to change me. Or a society that is Changed already, and they are following a different ways to improve their life. Even i do the right thing to improve. and do the things that makes as happy about it. Also they try to change as as the way they want it. over all being our self is better than act deafrient. progress on the thing that i need and want. It is because we see something that is not going right, but the society has changing. Because being our self is mean trust our self. So that way we keep our self in better way. SO i see the can improve but in not right way, and not respect between people. So i should not let ant one to turn me from my goal. That i can rich my goal successfully. Because they way the are saying it could heard people. To advents my self i would work so hard. Then no one can get our way to stop as.

being our self trusting to our goal, and respect our self, makes people to respect as. but they jut look forward to improve. Then going to embrace as for are fail, also try to stop as to rich that dream. Also i believe we can progress people around as. Then we should follow some other way to our life.

Clearly "" is society that is constantly trying to make as change in highest improvement.(Author Ralph Waldo Emerson) I should believe to my self. But is some people who is trying to fail as in our way to rich our goal. Because there is some people who want as, to not rich our goal or dreams. to show a society how strongly we trust our self. As will as we do to them",0
"The first opcion is summer school the scond opcion is evenings school and the last opcion is do not take any elective courses.

My first reason, why i think is better finish high school in three years for students is because all of the students high school are teenager and they need time for do stuff. But students can graduate and 3 years some school has a programs that allow high school to graduate in three years,

this programas has three opcion for gradute in three years. If they can finish high school and three years they can working one year and same money for collage.

My third reason is because all the students who follow this programs could be more opcion for find a good college , and find a good place for live close of the family and find a good job.

conclusion.

I think this programs are good opcion for students who want going to college.. High School

Regular high school is 4 years 9,10,11,12 grade for graduate. So why i think is good idea finish high school in three years is because they could be take drive licenses, insurance, all stuff they need.

My second reason, is because all of the students are teenager, and some working for save money for college",0
"Schools are planing to do two hours of school each week. To being with, some businesses have adopted a four-day work week, with each day consisting of then hours. That means that those people need a secondary job so they can support themselves

Finally, the economic will increase because businesses are reducing peoples hours just because they want to save up energy. People have debts to pay like credit cards, health/car insurance etc. The pay checks will be reduce to hours worked during the week just like any other job that pays by hour. Otherwise the teachers won't have the time to give the given material. Students must be at school for eight hours. Food cost will highly increase its price.

In conclusion, employers shouldn't reduce peoples hours. it is a good idea to reduce the energy that we consume but in away it's also affecting our economic and learning system.. The disadvantages of doing such a thing to school are, Schools are reducing school hours, teachers won't be getting a salary instead they will get pay hourly, and the economic is going to be low.

I believe that, school days shouldn't be reduce ,just because they want to save energy. Students studies will get interrupted if they get two hours of school weekly.

Second reason, is that teachers won't be getting a salary for two hours of work",0
"I can choose what i want to be. This is why i belive that we can choose our own character traits.. People are not going to tell us when we can or can't do.

I dont like when people tell me staff for example, I dont like when people are trying to make me something im not. John Lubbock wrote one's ""your character will be what you yourself choose to make it."" I believe that we can choose our own character traits.

Everyone is different we all have distinguishing quality's, put it this way if your an apple and your around mangos every day, is not goint to be different even if they trying to make you a mango your still going to be a aplee.

Going back to what John Lubbock wrote, ""Your character will be what you yourself choose to make it.""

i belive this prompt is right we can choose our own character traits.

We can be happy, sad, angry, or crazy",0
"It'll just take less time to get there, Just as a journey that takes you wherever you go without stopping. Although, some people may say we accomplish more if we are on it all the time.

Inactivity always serve a purpose because in order to finish what your doing, you have to take breaks between them. Inactivity always serve a purpose

Thomas Jefferson wrote; of how ""wonderful much may be done if we are always on it nonstop.""

Will I believe, that inactivity always serve a purpose because in order to finish what your doing, you have to take breaks between them and your body won't shut down while your doing it. For starters, we can be working, but we might be falling asleep at the same time anything can happen. In the end, I believe Is all up to you to determine weather or not to be Idle.. For example, our bodies wouldn't be able to function without any stopping point. Still, some people may say we accomplish more if we are always doing something. However, we might even get hurt doing work hours depending on what your job is. For example, if we are building an apartment or house you name it. To finish off with, we can lose our lives while driving or cost others.

some may say we accomplish more if we are on it all the time, because we can get more work done and we can finish faster. Lastly, even animals take rest after along day of hard work to continue on moving.

Inactivity always serve a purpose, because your body won't shut down while your doing it. Next, we're not even going to be able to sleep with all that pressure building up on us. We might just finish faster without a stopping point. lastly, is great when you don't stop moving forward and accomplish your goals your'll make it.

Inactivity always serve a purpose, because in order to finish what your doing, you have to take breaks between them and your body won't shut down while your doing it. To begin with, that's why now in days we have Saturdays and Sundays off. Second, if we are on just on that we make better results of ourselves doing what we are doing. First, we can learn something faster if we are on it all day nonstop without rest",0
"Even if they put strict rules students will find a away to go around those rules.

In conclusion, this is why I believe some schools should not allow phones in classrooms. Students will get distracted, they will not get the chance to learn more, and having phones is a privilege. Some schools use cell phones in the classroom for educational purpose. Students that actually take notes have a better chance to memorize what they learned and doing better in tests. When teachers do hands on work during class students can learn and teach their peers.

Last reason why i believe students should not have phones during class is ,phones are a privileged to have. Teachers should not allow phones during class time because students will not know when is the right time to have phones during class. I believe schools should not allow students to use their phones during class. People think it is a good idea for students to have phones for educational purpose. Students will start texting instead of doing their assigned work the teacher gave them.        . I believe students should not have phones in classrooms because students could easily get distracted, they will not have the chance to learn better, and having a phone should be a privilege.

First reason why I believe we should not have cell phones for educational purpose is ,students will get distracted. They will start using their phones for other purposes that are not educational or what their teacher has recommended. Students will start thinking it is okay for them to take out their phones when it is time for learning.

Second reason i believe it is wrong for students to have cell phones in classroom. Students will not have the chance to learn how it use to be",0
"It is not a good idea that the students commit to a career at a young age, because it will be to complicataed and difficult for them to take high school classes and their college classes at the same time , however if their high school are select to guide them toward a specif careeer let them take similar classes for example first week high school classes, and second week college classes that way they will not struggle in both differents courses and they can graduate with good grades . Also, it would be a good opportunitie for them to get done their career at a young age and start making money from what they are apassionated on it farthermore, some young people are interest in work on what they like and this could be a great apportunitie for them to commit to a career and start workin on what they have been apassionated on it and get a job that it would be able to made their families proud of them.

Commit a career at a young age give people the responsability to help their families and support them and with the time people at a young a age get more mature in life ,inorder for people to have a great future in life they should take their own responsabilities and learn from their mistake and with the past of time people learn how important life it's ;while people are gettting more elavate then others peple start to descriminate others who are down don't let people wash your head

,always be you because ,today you are up and tomorrow no body no it don't let appearance cheat on you.

Parents have to give support their child with the decision to commit a careeer at a young age, because that's what they want; don't be desagree with them because the only thing that they want is to be independent and lot of mothers don't let their childs be an adult; farthermore, mother's have to impulse their child to make their own decisions and let them learn from their mistakes.

If their sons/daughters go to work or finish their careers far away from their homes it will hurt to their families, understand they're been more adults them your litles baby's no more it doesn't matter if they are your adorations let them be free.

In conclusion,people are allow to make their own decisions and learn from their mistakes and next time they can make better decisions to allow them to choose the better opportunities people put on their life inorder to know what's right and wrong and wich make them to be more responsibles and mature in life.

Many have come to realize that life doesn't always is pink color ,people have to make their best effort doesn't mater if you fall down or make mistakes ,wake up and do it again until you do it right.",0
"Another example is sometimes these activities can help them relax and keep them calm so they stay out of trouble.

Another reason is some of the activities can keep them healthy. There are always a lot of activities and you can always find something you like. They can also do lift training after school which keep them fit and all around healthy.

Last but not least these activities are fun. For example if you like sports there are so many different sports you can do. Students should participate in extracurricular activities

I believe students should participate in extracurricular activities because one it keep them out of trouble, two some of the activities keep them healthy, and three they are fun.

One reason students should participate in extracurricular activities is because they keep most students out of trouble. For example students can do football or basketball which keeps them running and keeps them in good shape. For example, it can keep the students occupied so they don't have to be on the streets. There are also other things like drama club if you like acting, art club if you like drawing, even robotics club if you like technology and stuff like that.

Therefore these are the reasons I agree that all students should do at least one extracurricular activity.",0
"Based on your experiences try to find something different but a little simmer.

For example, if you worked at fast food restaurant you might want to work at a store next time. The first time you won't get it so easily like you thought you would, but though lots of practice you will get it right in no time and better at it to. You will never grow into something you want to be in the future if you don't find your inner indite. An example of this is if you're riding a bike, you fall down, but through practice you'll be riding your bike without falling off of it anymore.

We were all born with some talent that we don't know of, we just got to figure out what it is. If it does then you will be forgetting everything, and the talent you once had, and you'll have to find a new one. Different things can have an impact in your life, but that's how we all stated from very beginning; we never known we had a special talent until we try something new.. No matter what they say, don't let it get in your head just focus on getting to master your talent first.

Practice makes everything perfect even if you found something new, and you want try it out. If you found something you're really good at, then stick with at all times, and never let that talent slip away. Once you've found it, you could do all sorts of things and find what's best for you. Some people have great talents, some have bad ones, but they have one thing in common is that they practice really hard to master them. If you have done some of these, then you are ready to master a new talent. They have one thing in common is money.

Whether having a talent or just practicing, know that you're having fun whether you hate it or love it, and not for very long you will master it in no time",0
"Moreover, if I could play for a team I could play in games compete in tournaments and learn from other people.

Next, this one is huge having the mindset. However, it could be rough sometime, and you could get hurt. Lastly, you get payed really will that is one of the biggest reason why plethora of people want to play professional.

In conclusion, when you do something that you love you dont have to work a day in your life. Another reason, it is just what I love to do. My three major reasons are First, to improve at soccer, next, to have the mindset, furthermore, play professional soccer because that is what I love to do.. Similarly, asking for help from a coach or someone better than I am. The mindset of playing professional. Specifically, if I make a mistake I can learn from what I did wrong, so I can do a better job at it next time. Therefore, having the mindset for my future because I know as I go there will be more challenges for me to face. Finally having a good mindset is very important.

Furthermore, what I have wanted my entire life, my entire life I have wanted to play professional soccer because I have practiced my entire life for it. Specifically, believing that you can do it I can make it to professional. I want to improve by practicing everyday. Moreover, it is like you just started a new life. Imagine running through the wind so fast with something under your feet running by people kicking is as hard as you can for your team to be in the lead. Just imagine doing something you love that makes you exited and it just feels like you have never worked a day in your life, my three major reasons are improve, have the mindset, and play professional soccer.

First, one of my biggest reason is to improve. On the other hand I could play for a team and

I could practice with people better or not. playing with no fear, playing the game that is like a life time. It is a great way to get to meat new people",0
"At first I joined chorus in 1st grade and finished in 5th grade. I like participating in music contests, concerts, etc. I really enjoyed it ,so I chose to learn an instrument, which ended with me joining band. Everyone has a talent or skill. I played it from 2nd grade to 3rd grade. Although my music skills are still improving, I would still consider it a talent or skill.

I've learned to play different instruments such as: the guitar, percussion, xylophone, and the violin, which is what i'm currently playing. I really felt passionate about the violin so I kept playing ,and still am ,and yet will continue until high school.

My music skills can be useful at times, for example: my parents once asked me to play a song for their wedding, they thought it was marvelous. Last year, I sang a song ,that I composed, for my sisters' birthday. She really enjoyed it. I learned everything I had to know in 6th grade ,so I was ready to play the violin in 7th grade. when I entered middle school I decided to turn things around by choosing to do orchestra. In band, I learned how to play the recorder. In my case, Its music. I was also learning the guitar during 4th grade through 5th. After learning the recorder I switch instruments to a xylophone, that played during 4th grade.

Since I didnt really like playing the xylophone, I chose to do percussion for 5th grade. This year I went to New York for a violin concert, it was amazing.

My music skills have yet to improve, but until then I will continue trying new ways of music.",0
""" In this world you decide who do want to be either you get along with it or someone teach you"" although some people think that our character formed by influences beyond our control nevertheless we choose our character traits people on your environment and also people who you talk to i believe that the one that influence me is that we choose our own characters

First People on your environment influence a lot because in front of them you decide who you want to be and you choose your traits so i think that you choose your traits on the type of environment that you are on on you are living for Example My brother Generic_Name when he was around me he was a different person we talked like brother help each other as brothers when he was around Dad And mom he was another type of person he was not the same with me he was more kinder but when we were on school he another type of person he was mean He didnt care about me and other people he wouldn't treat me he changed his traits to a whole different level That proves that a person can changes their traits depends on the environment that they are growing.

second people who we talked too we eventually we change our way to be to different people the way that we talk to our people are a different person when u talk to your relatives friends coasins brotheres we eventually changed the way to be for example one day A guy named Generic_Name recived a call from his parents saying Generic_Name its time to come home And Generic_Name respectfully said Tes mom i will go home right Away after he finish his call he talked to us saying Dude i need to leabe but like right now!! screming that proves that we change the way that act with different people or the way that we talk with different types of people.

to conclude we choose our character traits because we talk and and people around we choos ehow we act aroubd people people who we talk to are the ones that affect us more because thats the one that we do on daily bases the other one people on your enviroment is the way that u want to be looked by different type of people around your self.",0
